"profile_name","workbooks","last_publish","workbook_screenshot","workbook_thumbnail","last_publish_datetime"
"mateusz.karmalski","https://public.tableau.com/profile/mateusz.karmalski#!/vizhome/SpaceRace_16029283688270/SpaceRace",1602928368825,"https://public.tableau.com/static/images/Sp/SpaceRace_16029283688270/SpaceRace/1.png","https://public.tableau.com/thumb/views/SpaceRace_16029283688270/SpaceRace",2020-10-17 10:52:48
"autumnbattani","https://public.tableau.com/profile/autumnbattani#!/vizhome/TheOriginofBoxOfficeHits/Originals",1602858094292,"https://public.tableau.com/static/images/Th/TheOriginofBoxOfficeHits/Originals/1.png","https://public.tableau.com/thumb/views/TheOriginofBoxOfficeHits/Originals",2020-10-16 15:21:34
"zainab2225","https://public.tableau.com/profile/zainab2225#!/vizhome/BrutalisedbySARSENDSARSPoliceBrutalityinNigeria/Dashboard1",1602802701232,"https://public.tableau.com/static/images/Br/BrutalisedbySARSENDSARSPoliceBrutalityinNigeria/Dashboard1/1.png","https://public.tableau.com/thumb/views/BrutalisedbySARSENDSARSPoliceBrutalityinNigeria/Dashboard1",2020-10-15 23:58:21
"kimly.scott","https://public.tableau.com/profile/kimly.scott#!/vizhome/coloursoftheauroras/coloursoftheauroras",1602757477304,"https://public.tableau.com/static/images/co/coloursoftheauroras/coloursoftheauroras/1.png","https://public.tableau.com/thumb/views/coloursoftheauroras/coloursoftheauroras",2020-10-15 11:24:37
"peter.james.walker","https://public.tableau.com/profile/peter.james.walker#!/vizhome/COVID-19attheWhiteHouse-ContactTracking/Home",1602707375048,"https://public.tableau.com/static/images/CO/COVID-19attheWhiteHouse-ContactTracking/Home/1.png","https://public.tableau.com/thumb/views/COVID-19attheWhiteHouse-ContactTracking/Home",2020-10-14 21:29:35
"alisha7755","https://public.tableau.com/profile/alisha7755#!/vizhome/AlishaDhillon-Resume/AlishaCV",1602620412936,"https://public.tableau.com/static/images/Al/AlishaDhillon-Resume/AlishaCV/1.png","https://public.tableau.com/thumb/views/AlishaDhillon-Resume/AlishaCV",2020-10-13 21:20:12
"rafael.centeno","https://public.tableau.com/profile/rafael.centeno#!/vizhome/DataAssetsDataCulture_16025990200860/DataAssetsDataCulture",1602599148137,"https://public.tableau.com/static/images/Da/DataAssetsDataCulture_16025990200860/DataAssets&DataCulture/1.png","https://public.tableau.com/thumb/views/DataAssetsDataCulture_16025990200860/DataAssets&DataCulture",2020-10-13 15:25:48
"tam.s.varga","https://public.tableau.com/profile/tam.s.varga#!/vizhome/Dataassetsandculture/Dataassetsandculture",1602586723683,"https://public.tableau.com/static/images/Da/Dataassetsandculture/Dataassetsandculture/1.png","https://public.tableau.com/thumb/views/Dataassetsandculture/Dataassetsandculture",2020-10-13 11:58:43
"satoshi.ganeko","https://public.tableau.com/profile/satoshi.ganeko#!/vizhome/TabjoConferenceViz/sheet0",1602385496345,"https://public.tableau.com/static/images/Ta/TabjoConferenceViz/<U+30BF><U+30A4><U+30C8><U+30EB>/1.png","https://public.tableau.com/thumb/views/TabjoConferenceViz/<U+30BF><U+30A4><U+30C8><U+30EB>",2020-10-11 04:04:56
"thecfelix","https://public.tableau.com/profile/thecfelix#!/vizhome/TheAirWeBreatheIronVizFinal/TheAirWeBreatheIronVizFinal",1602270673169,"https://public.tableau.com/static/images/Th/TheAirWeBreatheIronVizFinal/TheAirWeBreathe|IronVizFinal/1.png","https://public.tableau.com/thumb/views/TheAirWeBreatheIronVizFinal/TheAirWeBreathe|IronVizFinal",2020-10-09 20:11:13
"lukas.jennings","https://public.tableau.com/profile/lukas.jennings#!/vizhome/CV_16022456995430/CV",1602262067931,"https://public.tableau.com/static/images/CV/CV_16022456995430/CV/1.png","https://public.tableau.com/thumb/views/CV_16022456995430/CV",2020-10-09 17:47:47
"lorna.eden","https://public.tableau.com/profile/lorna.eden#!/vizhome/Data20SpeedTippingFavourites/Slide3",1602152744450,"https://public.tableau.com/static/images/Da/Data20SpeedTippingFavourites/Slide(3)/1.png","https://public.tableau.com/thumb/views/Data20SpeedTippingFavourites/Slide(3)",2020-10-08 11:25:44
"guillevin","https://public.tableau.com/profile/guillevin#!/vizhome/IRONVIZ-TheHousingMarketRollercoaster/THEHOUSINGMARKETROLLERCOASTER",1602103614952,"https://public.tableau.com/static/images/IR/IRONVIZ-TheHousingMarketRollercoaster/THEHOUSINGMARKETROLLERCOASTER/1.png","https://public.tableau.com/thumb/views/IRONVIZ-TheHousingMarketRollercoaster/THEHOUSINGMARKETROLLERCOASTER",2020-10-07 21:46:54
"jeffrey.shaffer","https://public.tableau.com/profile/jeffrey.shaffer#!/vizhome/SpeedTippingFavoritesDATA20/TITLE",1602084910562,"https://public.tableau.com/static/images/Sp/SpeedTippingFavoritesDATA20/TITLE/1.png","https://public.tableau.com/thumb/views/SpeedTippingFavoritesDATA20/TITLE",2020-10-07 16:35:10
"andy.kriebel","https://public.tableau.com/profile/andy.kriebel#!/vizhome/VisualVocabulary/VisualVocabulary",1602065410306,"https://public.tableau.com/static/images/Vi/VisualVocabulary/VisualVocabulary/1.png","https://public.tableau.com/thumb/views/VisualVocabulary/VisualVocabulary",2020-10-07 11:10:10
"michelle.frayman","https://public.tableau.com/profile/michelle.frayman#!/vizhome/MM2020Week40-USEconomicOutputV1/USEcomomicOutput",1601987069099,"https://public.tableau.com/static/images/MM/MM2020Week40-USEconomicOutputV1/USEcomomicOutput/1.png","https://public.tableau.com/thumb/views/MM2020Week40-USEconomicOutputV1/USEcomomicOutput",2020-10-06 13:24:29
"garycollins24","https://public.tableau.com/profile/garycollins24#!/vizhome/ItsTimetoRelax/ItsTimetoRelax",1601983769642,"https://public.tableau.com/static/images/It/ItsTimetoRelax/ItsTimetoRelax/1.png","https://public.tableau.com/thumb/views/ItsTimetoRelax/ItsTimetoRelax",2020-10-06 12:29:29
"dorian.barosan","https://public.tableau.com/profile/dorian.barosan#!/vizhome/EconomicoutputinU_S_Counties/Dashboard",1601919562023,"https://public.tableau.com/static/images/Ec/EconomicoutputinU_S_Counties/Dashboard/1.png","https://public.tableau.com/thumb/views/EconomicoutputinU_S_Counties/Dashboard",2020-10-05 18:39:22
"kevin.flerlage","https://public.tableau.com/profile/kevin.flerlage#!/vizhome/StreetFighter/StreetFighter",1601913493227,"https://public.tableau.com/static/images/St/StreetFighter/StreetFighter/1.png","https://public.tableau.com/thumb/views/StreetFighter/StreetFighter",2020-10-05 16:58:13
"kevin.flerlage","https://public.tableau.com/profile/kevin.flerlage#!/vizhome/YouSerious/YouSerious",1601912857709,"https://public.tableau.com/static/images/Yo/YouSerious/YouSerious/1.png","https://public.tableau.com/thumb/views/YouSerious/YouSerious",2020-10-05 16:47:37
