"profile_name","workbooks","last_publish","workbook_screenshot.original_url","workbook_screenshot.viz_img","workbook_thumbnail.original_url","workbook_thumbnail.viz_img","last_publish_datetime"
"anjushreebv","https://public.tableau.com/profile/anjushreebv#!/vizhome/IronQuest-TorontoFireWatch/TorontoFireWatch",1585257655351,"https://public.tableau.com/profile/anjushreebv#!/vizhome/IronQuest-TorontoFireWatch/TorontoFireWatch","https://public.tableau.com/static/images/Ir/IronQuest-TorontoFireWatch/TorontoFireWatch/1.png","https://public.tableau.com/profile/anjushreebv#!/vizhome/IronQuest-TorontoFireWatch/TorontoFireWatch","https://public.tableau.com/thumb/views/IronQuest-TorontoFireWatch/TorontoFireWatch",2020-03-26 21:20:55
"abdelaziz.mahjoub","https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/BerkeleyUniversityMOM-W12/BerkeleyUNI",1584985803342,"https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/BerkeleyUniversityMOM-W12/BerkeleyUNI","https://public.tableau.com/static/images/Be/BerkeleyUniversityMOM-W12/BerkeleyUNI/1.png","https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/BerkeleyUniversityMOM-W12/BerkeleyUNI","https://public.tableau.com/thumb/views/BerkeleyUniversityMOM-W12/BerkeleyUNI",2020-03-23 17:50:03
"laura.schofield","https://public.tableau.com/profile/laura.schofield#!/vizhome/FisforFireworks/Fisforfireworks",1584976600955,"https://public.tableau.com/profile/laura.schofield#!/vizhome/FisforFireworks/Fisforfireworks","https://public.tableau.com/static/images/Fi/FisforFireworks/Fisforfireworks/1.png","https://public.tableau.com/profile/laura.schofield#!/vizhome/FisforFireworks/Fisforfireworks","https://public.tableau.com/thumb/views/FisforFireworks/Fisforfireworks",2020-03-23 15:16:40
"james.goodall","https://public.tableau.com/profile/james.goodall#!/vizhome/SocialDistancing/ThePowerofSocialDistancing",1584703186323,"https://public.tableau.com/profile/james.goodall#!/vizhome/SocialDistancing/ThePowerofSocialDistancing","https://public.tableau.com/static/images/So/SocialDistancing/ThePowerofSocialDistancing/1.png","https://public.tableau.com/profile/james.goodall#!/vizhome/SocialDistancing/ThePowerofSocialDistancing","https://public.tableau.com/thumb/views/SocialDistancing/ThePowerofSocialDistancing",2020-03-20 11:19:46
"laura.schofield","https://public.tableau.com/profile/laura.schofield#!/vizhome/EisforExplorers/EisforExplorers",1583758742226,"https://public.tableau.com/profile/laura.schofield#!/vizhome/EisforExplorers/EisforExplorers","https://public.tableau.com/static/images/Ei/EisforExplorers/EisforExplorers/1.png","https://public.tableau.com/profile/laura.schofield#!/vizhome/EisforExplorers/EisforExplorers","https://public.tableau.com/thumb/views/EisforExplorers/EisforExplorers",2020-03-09 12:59:02
"james.goodall","https://public.tableau.com/profile/james.goodall#!/vizhome/RoadSafety-Accidents/RoadSafety-Accidents",1583498176483,"https://public.tableau.com/profile/james.goodall#!/vizhome/RoadSafety-Accidents/RoadSafety-Accidents","https://public.tableau.com/static/images/Ro/RoadSafety-Accidents/RoadSafety-Accidents/1.png","https://public.tableau.com/profile/james.goodall#!/vizhome/RoadSafety-Accidents/RoadSafety-Accidents","https://public.tableau.com/thumb/views/RoadSafety-Accidents/RoadSafety-Accidents",2020-03-06 12:36:16
"laura.schofield","https://public.tableau.com/profile/laura.schofield#!/vizhome/Disfordinosaur/DisforDinosaur",1582549035078,"https://public.tableau.com/profile/laura.schofield#!/vizhome/Disfordinosaur/DisforDinosaur","https://public.tableau.com/static/images/Di/Disfordinosaur/DisforDinosaur/1.png","https://public.tableau.com/profile/laura.schofield#!/vizhome/Disfordinosaur/DisforDinosaur","https://public.tableau.com/thumb/views/Disfordinosaur/DisforDinosaur",2020-02-24 12:57:15
"james.goodall","https://public.tableau.com/profile/james.goodall#!/vizhome/DomesticMigration/DomesticMigration",1582303715775,"https://public.tableau.com/profile/james.goodall#!/vizhome/DomesticMigration/DomesticMigration","https://public.tableau.com/static/images/Do/DomesticMigration/DomesticMigration/1.png","https://public.tableau.com/profile/james.goodall#!/vizhome/DomesticMigration/DomesticMigration","https://public.tableau.com/thumb/views/DomesticMigration/DomesticMigration",2020-02-21 16:48:35
"chiaki.ishida","https://public.tableau.com/profile/chiaki.ishida#!/vizhome/MakeoverMonday2020W7AlltheWorldsWealthinOneVisual/1",1581901181824,"https://public.tableau.com/profile/chiaki.ishida#!/vizhome/MakeoverMonday2020W7AlltheWorldsWealthinOneVisual/1","https://public.tableau.com/static/images/Ma/MakeoverMonday2020W7AlltheWorldsWealthinOneVisual/1/1.png","https://public.tableau.com/profile/chiaki.ishida#!/vizhome/MakeoverMonday2020W7AlltheWorldsWealthinOneVisual/1","https://public.tableau.com/thumb/views/MakeoverMonday2020W7AlltheWorldsWealthinOneVisual/1",2020-02-17 00:59:41
"chiaki.ishida","https://public.tableau.com/profile/chiaki.ishida#!/vizhome/WorkoutWednesdayW6CanyoubuildaMoMProgressReport/1",1581642305339,"https://public.tableau.com/profile/chiaki.ishida#!/vizhome/WorkoutWednesdayW6CanyoubuildaMoMProgressReport/1","https://public.tableau.com/static/images/Wo/WorkoutWednesdayW6CanyoubuildaMoMProgressReport/1/1.png","https://public.tableau.com/profile/chiaki.ishida#!/vizhome/WorkoutWednesdayW6CanyoubuildaMoMProgressReport/1","https://public.tableau.com/thumb/views/WorkoutWednesdayW6CanyoubuildaMoMProgressReport/1",2020-02-14 01:05:05
"chiaki.ishida","https://public.tableau.com/profile/chiaki.ishida#!/vizhome/WorkoutWednesday2020W5Wheredoregionsrankmonth-to-month/1",1581492123849,"https://public.tableau.com/profile/chiaki.ishida#!/vizhome/WorkoutWednesday2020W5Wheredoregionsrankmonth-to-month/1","https://public.tableau.com/static/images/Wo/WorkoutWednesday2020W5Wheredoregionsrankmonth-to-month/1/1.png","https://public.tableau.com/profile/chiaki.ishida#!/vizhome/WorkoutWednesday2020W5Wheredoregionsrankmonth-to-month/1","https://public.tableau.com/thumb/views/WorkoutWednesday2020W5Wheredoregionsrankmonth-to-month/1",2020-02-12 07:22:03
"chiaki.ishida","https://public.tableau.com/profile/chiaki.ishida#!/vizhome/WorkoutWednesday2020W4Canyoucombinerelativeandcustomdates_15814816200790/1",1581481770979,"https://public.tableau.com/profile/chiaki.ishida#!/vizhome/WorkoutWednesday2020W4Canyoucombinerelativeandcustomdates_15814816200790/1","https://public.tableau.com/static/images/Wo/WorkoutWednesday2020W4Canyoucombinerelativeandcustomdates_15814816200790/1/1.png","https://public.tableau.com/profile/chiaki.ishida#!/vizhome/WorkoutWednesday2020W4Canyoucombinerelativeandcustomdates_15814816200790/1","https://public.tableau.com/thumb/views/WorkoutWednesday2020W4Canyoucombinerelativeandcustomdates_15814816200790/1",2020-02-12 04:29:30
"laura.schofield","https://public.tableau.com/profile/laura.schofield#!/vizhome/CisforColour_15812515725840/Cisforcolour",1581280206757,"https://public.tableau.com/profile/laura.schofield#!/vizhome/CisforColour_15812515725840/Cisforcolour","https://public.tableau.com/static/images/Ci/CisforColour_15812515725840/Cisforcolour/1.png","https://public.tableau.com/profile/laura.schofield#!/vizhome/CisforColour_15812515725840/Cisforcolour","https://public.tableau.com/thumb/views/CisforColour_15812515725840/Cisforcolour",2020-02-09 20:30:06
"james.goodall","https://public.tableau.com/profile/james.goodall#!/vizhome/Coronovirus/Coronovirus",1580487531362,"https://public.tableau.com/profile/james.goodall#!/vizhome/Coronovirus/Coronovirus","https://public.tableau.com/static/images/Co/Coronovirus/Coronovirus/1.png","https://public.tableau.com/profile/james.goodall#!/vizhome/Coronovirus/Coronovirus","https://public.tableau.com/thumb/views/Coronovirus/Coronovirus",2020-01-31 16:18:51
"james.goodall","https://public.tableau.com/profile/james.goodall#!/vizhome/LifeSatisfaction-Wellbeing/Wellbeing",1580399809854,"https://public.tableau.com/profile/james.goodall#!/vizhome/LifeSatisfaction-Wellbeing/Wellbeing","https://public.tableau.com/static/images/Li/LifeSatisfaction-Wellbeing/Wellbeing/1.png","https://public.tableau.com/profile/james.goodall#!/vizhome/LifeSatisfaction-Wellbeing/Wellbeing","https://public.tableau.com/thumb/views/LifeSatisfaction-Wellbeing/Wellbeing",2020-01-30 15:56:49
"james.goodall","https://public.tableau.com/profile/james.goodall#!/vizhome/PropertySalesinSurrey/PropertySalesinSurrey",1580123098643,"https://public.tableau.com/profile/james.goodall#!/vizhome/PropertySalesinSurrey/PropertySalesinSurrey","https://public.tableau.com/static/images/Pr/PropertySalesinSurrey/PropertySalesinSurrey/1.png","https://public.tableau.com/profile/james.goodall#!/vizhome/PropertySalesinSurrey/PropertySalesinSurrey","https://public.tableau.com/thumb/views/PropertySalesinSurrey/PropertySalesinSurrey",2020-01-27 11:04:58
"james.goodall","https://public.tableau.com/profile/james.goodall#!/vizhome/EuropeanEelAnguillaAnguilla/EuropeanEelAnguillaAnguilla",1580056908191,"https://public.tableau.com/profile/james.goodall#!/vizhome/EuropeanEelAnguillaAnguilla/EuropeanEelAnguillaAnguilla","https://public.tableau.com/static/images/Eu/EuropeanEelAnguillaAnguilla/EuropeanEelAnguillaAnguilla/1.png","https://public.tableau.com/profile/james.goodall#!/vizhome/EuropeanEelAnguillaAnguilla/EuropeanEelAnguillaAnguilla","https://public.tableau.com/thumb/views/EuropeanEelAnguillaAnguilla/EuropeanEelAnguillaAnguilla",2020-01-26 16:41:48
"chiaki.ishida","https://public.tableau.com/profile/chiaki.ishida#!/vizhome/WorkoutWednesday2020W3Canyouvisualisetimeinauniqueway_15797438430580/1",1579743843055,"https://public.tableau.com/profile/chiaki.ishida#!/vizhome/WorkoutWednesday2020W3Canyouvisualisetimeinauniqueway_15797438430580/1","https://public.tableau.com/static/images/Wo/WorkoutWednesday2020W3Canyouvisualisetimeinauniqueway_15797438430580/1/1.png","https://public.tableau.com/profile/chiaki.ishida#!/vizhome/WorkoutWednesday2020W3Canyouvisualisetimeinauniqueway_15797438430580/1","https://public.tableau.com/thumb/views/WorkoutWednesday2020W3Canyouvisualisetimeinauniqueway_15797438430580/1",2020-01-23 01:44:03
